epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,2422.42,0.70978,0.92356,1.20991,0.72816,0.60733,0.70373,0.52434,0.86298,1.06029,1.2276,0.0013994,0.0013994,0.0013994
93,2448.71,0.6776,0.88888,1.1978,0.68322,0.59511,0.68892,0.51774,0.87459,1.07728,1.25114,0.0013928,0.0013928,0.0013928
94,2475.06,0.69245,0.90372,1.20907,0.72447,0.61032,0.70367,0.52632,0.85898,1.02343,1.2284,0.0013862,0.0013862,0.0013862
95,2501.38,0.71208,0.90173,1.20656,0.69047,0.65013,0.70844,0.52866,0.85968,1.05549,1.23645,0.0013796,0.0013796,0.0013796
96,2527.72,0.70882,0.9103,1.20257,0.70288,0.61514,0.69855,0.52557,0.83424,1.04154,1.19955,0.001373,0.001373,0.001373
97,2554.17,0.70575,0.92927,1.21788,0.69558,0.62207,0.70922,0.53055,0.87537,1.04165,1.24955,0.0013664,0.0013664,0.0013664
98,2580.56,0.71318,0.91643,1.21052,0.72057,0.61431,0.69047,0.50708,0.85692,1.08648,1.24016,0.0013598,0.0013598,0.0013598
99,2606.93,0.727,0.90655,1.21808,0.64959,0.61955,0.67645,0.50164,0.84312,1.10033,1.22397,0.0013532,0.0013532,0.0013532
100,2633.32,0.70089,0.90747,1.19579,0.75684,0.56545,0.70542,0.53909,0.82551,1.04413,1.18717,0.0013466,0.0013466,0.0013466
101,2659.72,0.68366,0.89211,1.18434,0.64103,0.62129,0.66303,0.4853,0.82666,1.1184,1.22001,0.00134,0.00134,0.00134
102,2686.08,0.70528,0.92973,1.21614,0.70079,0.68237,0.72228,0.54888,0.82466,1.01344,1.21091,0.0013334,0.0013334,0.0013334
103,2712.46,0.68631,0.88519,1.18666,0.66383,0.63176,0.6902,0.52499,0.84273,1.0726,1.2143,0.0013268,0.0013268,0.0013268
104,2738.76,0.69772,0.89421,1.20213,0.69822,0.65271,0.72172,0.54226,0.83663,1.01537,1.2215,0.0013202,0.0013202,0.0013202
105,2765.08,0.69409,0.88605,1.19234,0.66486,0.64397,0.69431,0.53775,0.82451,1.04069,1.18809,0.0013136,0.0013136,0.0013136
106,2791.36,0.68676,0.8917,1.18449,0.67056,0.63525,0.69282,0.52538,0.84613,1.08657,1.2252,0.001307,0.001307,0.001307
107,2817.72,0.69407,0.89703,1.20218,0.7038,0.61787,0.71063,0.533,0.85356,1.03316,1.21476,0.0013004,0.0013004,0.0013004
108,2844.11,0.6884,0.87516,1.19657,0.67284,0.65096,0.70683,0.5279,0.8774,1.04385,1.23593,0.0012938,0.0012938,0.0012938
109,2870.43,0.70384,0.90887,1.20627,0.71195,0.62478,0.71334,0.54017,0.84152,1.03641,1.21287,0.0012872,0.0012872,0.0012872
110,2896.74,0.69543,0.86987,1.18896,0.7318,0.61428,0.69802,0.52702,0.8503,1.06047,1.2245,0.0012806,0.0012806,0.0012806
111,2923.09,0.69511,0.88777,1.20808,0.67975,0.63002,0.70082,0.51856,0.87376,1.12284,1.25071,0.001274,0.001274,0.001274
112,2949.37,0.66545,0.85948,1.18237,0.69841,0.62239,0.70762,0.52477,0.84664,1.02071,1.21259,0.0012674,0.0012674,0.0012674
113,2975.73,0.68663,0.8922,1.19364,0.70125,0.63496,0.71228,0.53103,0.83176,1.00536,1.2352,0.0012608,0.0012608,0.0012608
114,3002.11,0.64918,0.83615,1.1801,0.72096,0.60421,0.71228,0.53273,0.83569,1.02318,1.20141,0.0012542,0.0012542,0.0012542
115,3028.51,0.65874,0.84649,1.18686,0.68558,0.65445,0.71419,0.54399,0.83326,1.01645,1.21865,0.0012476,0.0012476,0.0012476
116,3054.93,0.69953,0.85271,1.20318,0.69466,0.61082,0.70341,0.53693,0.8409,1.02615,1.22375,0.001241,0.001241,0.001241
117,3081.41,0.67655,0.8494,1.17932,0.64978,0.65445,0.7085,0.54492,0.83142,1.03532,1.20177,0.0012344,0.0012344,0.0012344
118,3107.86,0.68051,0.8609,1.17094,0.71089,0.59219,0.69799,0.53128,0.8364,1.04328,1.22603,0.0012278,0.0012278,0.0012278
119,3134.35,0.66334,0.85354,1.1781,0.61919,0.65266,0.67358,0.5121,0.84637,1.05188,1.22779,0.0012212,0.0012212,0.0012212
120,3160.78,0.66563,0.86732,1.18209,0.69258,0.67016,0.71776,0.53515,0.83564,1.02044,1.21851,0.0012146,0.0012146,0.0012146
121,3187.13,0.68472,0.87325,1.19189,0.76841,0.608,0.72302,0.54614,0.82108,1.00635,1.21313,0.001208,0.001208,0.001208
122,3213.55,0.68837,0.8353,1.17298,0.67532,0.62478,0.71345,0.53725,0.83413,1.03806,1.21555,0.0012014,0.0012014,0.0012014
123,3239.89,0.66737,0.86057,1.17352,0.6862,0.61825,0.69675,0.523,0.84706,1.08746,1.21264,0.0011948,0.0011948,0.0011948
124,3266.26,0.65934,0.84235,1.1615,0.70964,0.60035,0.70166,0.52726,0.84594,1.07817,1.22404,0.0011882,0.0011882,0.0011882
125,3292.58,0.665,0.84539,1.17042,0.68065,0.63002,0.70165,0.53258,0.8101,1.0787,1.17104,0.0011816,0.0011816,0.0011816
126,3318.98,0.64209,0.8462,1.1679,0.69779,0.6125,0.70225,0.53322,0.82382,1.03513,1.20765,0.001175,0.001175,0.001175
127,3345.39,0.64189,0.80431,1.16252,0.69625,0.62304,0.7002,0.53459,0.82609,1.0702,1.21642,0.0011684,0.0011684,0.0011684
128,3371.71,0.65291,0.84018,1.16716,0.66503,0.64049,0.70665,0.53438,0.83807,1.01136,1.20905,0.0011618,0.0011618,0.0011618
129,3398.09,0.6532,0.8444,1.16219,0.68247,0.61515,0.71616,0.54181,0.83033,1.0025,1.2035,0.0011552,0.0011552,0.0011552
130,3424.44,0.6438,0.83893,1.17426,0.656,0.66318,0.70326,0.53972,0.82619,1.02695,1.19761,0.0011486,0.0011486,0.0011486
131,3450.85,0.6754,0.85858,1.18575,0.65857,0.63284,0.689,0.52732,0.84218,1.04857,1.22124,0.001142,0.001142,0.001142
132,3477.24,0.65534,0.83129,1.18263,0.65928,0.66492,0.70438,0.52833,0.85036,1.01765,1.21018,0.0011354,0.0011354,0.0011354
133,3503.52,0.66172,0.83644,1.17514,0.71959,0.62304,0.70374,0.53809,0.8337,1.00946,1.196,0.0011288,0.0011288,0.0011288
